sprint_id,sprint_label,team_id,team_name,stories_added,points_added
SP-002,2024-Q4-S1,T02,Network Firmware,1,3
SP-005,2024-Q4-S2,T01,Compute Platform,1,5
SP-008,2024-Q4-S2,T04,Developer Tools,1,4
SP-011,2024-Q4-S3,T03,Security Infrastructure,2,10
SP-012,2024-Q4-S3,T04,Developer Tools,1,3
SP-017,2025-Q1-S1,T01,Compute Platform,1,5
SP-018,2025-Q1-S1,T02,Network Firmware,3,6
SP-021,2025-Q1-S2,T01,Compute Platform,3,12
SP-022,2025-Q1-S2,T02,Network Firmware,3,6
SP-024,2025-Q1-S2,T04,Developer Tools,3,15
SP-027,2025-Q1-S3,T03,Security Infrastructure,3,12
SP-028,2025-Q1-S3,T04,Developer Tools,3,9
SP-029,2025-Q1-S4,T01,Compute Platform,1,4
SP-030,2025-Q1-S4,T02,Network Firmware,3,15
